01:39:25.064 | Info | '/transaction/getCustomersDetails' | 
01:41:17.688 | Info | '/transaction/getCustomerType' | 
01:41:46.672 | Info | '/transaction/createCustomerType' | 
01:41:46.676 | Info | ({'message':'Column \'username\' cannot be null','code':'ER_BAD_NULL_ERROR','errno':1048,'sqlState':'23000','sqlMessage':'Column \'username\' cannot be null'}) | 
01:41:46.704 | Info | '/transaction/getCustomerType' | 
01:41:57.232 | Info | '/transaction/getCustomerType' | 
01:42:04.982 | Info | '/transaction/getCustomerType' | 
01:42:35.579 | Info | '/transaction/createCustomerType' | 
01:42:35.586 | Info | ({'message':'Column \'username\' cannot be null','code':'ER_BAD_NULL_ERROR','errno':1048,'sqlState':'23000','sqlMessage':'Column \'username\' cannot be null'}) | 
01:42:35.634 | Info | '/transaction/getCustomerType' | 
01:44:53.191 | Info | '/transaction/getCustomerType' | 
01:44:59.150 | Info | '/transaction/createCustomerType' | 
01:44:59.155 | Info | ({'message':'Column \'password\' cannot be null','code':'ER_BAD_NULL_ERROR','errno':1048,'sqlState':'23000','sqlMessage':'Column \'password\' cannot be null'}) | 
01:44:59.194 | Info | '/transaction/getCustomerType' | 
01:45:21.076 | Info | '/transaction/createCustomerType' | 
01:45:21.081 | Info | ({'message':'Column \'cnic\' cannot be null','code':'ER_BAD_NULL_ERROR','errno':1048,'sqlState':'23000','sqlMessage':'Column \'cnic\' cannot be null'}) | 
01:45:21.134 | Info | '/transaction/getCustomerType' | 
01:45:46.370 | Info | '/transaction/createCustomerType' | 
01:45:46.428 | Info | '/transaction/getCustomerType' | 
01:46:02.994 | Info | '/transaction/getCustomersDetails' | 
01:56:10.649 | Info | '/transaction/getCustomerType' | 
01:56:18.168 | Info | '/transaction/getCustomersDetails' | 
01:56:35.151 | Info | '/transaction/getCustomersDetails' | 
01:56:40.107 | Info | '/transaction/getCustomersDetails' | 
01:56:48.323 | Info | '/transaction/getCustomerType' | 
01:56:50.854 | Info | '/transaction/getCustomersDetails' | 
01:57:02.700 | Info | '/transaction/getCustomersDetails' | 
01:57:40.125 | Info | '/transaction/getCustomersDetails' | 
01:57:51.868 | Info | '/transaction/getCustomerType' | 
01:57:55.433 | Info | '/transaction/getCustomersDetails' | 
01:58:03.286 | Info | '/transaction/getCustomerType' | 
01:58:05.623 | Info | '/transaction/getCustomersDetails' | 
02:01:09.127 | Info | '/transaction/getCustomersDetails' | 
02:01:15.728 | Info | '/transaction/getCustomerType' | 
02:01:17.975 | Info | '/transaction/getCustomersDetails' | 
02:01:26.116 | Info | '/transaction/getCustomersDetails' | 
02:01:31.876 | Info | '/transaction/getCustomersDetails' | 
02:01:35.133 | Info | '/transaction/getCustomerType' | 
02:01:36.492 | Info | '/transaction/getCustomerType' | 
02:01:39.003 | Info | '/transaction/getCustomersDetails' | 
02:01:48.717 | Info | '/transaction/getCustomersDetails' | 
02:03:27.915 | Info | '/transaction/getCustomerType' | 
02:03:32.388 | Info | '/transaction/getCustomersDetails' | 
02:03:56.119 | Info | '/transaction/getCustomersDetails' | 
02:04:01.112 | Info | '/transaction/getCustomersDetails' | 
02:04:03.557 | Info | '/transaction/getCustomersDetails' | 
02:05:16.110 | Info | '/transaction/getCustomersDetails' | 
02:05:21.105 | Info | '/transaction/getCustomersDetails' | 
02:05:25.447 | Info | '/transaction/getCustomerType' | 
02:05:27.051 | Info | '/transaction/getCustomerType' | 
02:05:29.102 | Info | '/transaction/getCustomersDetails' | 
02:07:01.129 | Info | '/transaction/getCustomersDetails' | 
02:07:13.050 | Info | '/transaction/getCustomerType' | 
02:07:15.460 | Info | '/transaction/getCustomersDetails' | 
02:08:07.121 | Info | '/transaction/getCustomersDetails' | 
02:09:34.137 | Info | '/transaction/getCustomersDetails' | 
02:09:43.867 | Info | '/transaction/getCustomerType' | 
02:09:45.790 | Info | '/transaction/getCustomersDetails' | 
02:10:00.044 | Info | '/transaction/getCustomersDetails' | 
02:13:36.123 | Info | '/transaction/getCustomersDetails' | 
02:13:38.118 | Info | '/transaction/getCustomersDetails' | 
02:13:48.067 | Info | '/transaction/getCustomerType' | 
02:13:50.996 | Info | '/transaction/getCustomersDetails' | 
02:15:15.129 | Info | '/transaction/getCustomersDetails' | 
02:15:22.137 | Info | '/transaction/getCustomersDetails' | 
02:15:35.423 | Info | '/transaction/getCustomerType' | 
02:15:37.260 | Info | '/transaction/getCustomersDetails' | 
02:16:00.112 | Info | '/transaction/getCustomersDetails' | 
02:16:04.109 | Info | '/transaction/getCustomersDetails' | 
02:16:19.796 | Info | '/transaction/getCustomerType' | 
02:16:51.804 | Info | '/transaction/getCustomerType' | 
02:17:03.943 | Info | '/transaction/getCustomersDetails' | 
02:17:10.770 | Info | '/transaction/getCustomerType' | 
02:17:13.185 | Info | '/transaction/getCustomersDetails' | 
02:17:22.118 | Info | '/transaction/getCustomersDetails' | 
02:18:21.123 | Info | '/transaction/getCustomersDetails' | 
02:18:25.734 | Info | '/transaction/getCustomersDetails' | 
02:18:44.766 | Info | '/transaction/getCustomerType' | 
02:18:46.206 | Info | '/transaction/getCustomerType' | 
02:18:48.596 | Info | '/transaction/getCustomersDetails' | 
02:19:03.119 | Info | '/transaction/getCustomersDetails' | 
02:19:17.482 | Info | '/transaction/getCustomersDetails' | 
02:20:05.131 | Info | '/transaction/getCustomersDetails' | 
02:20:19.117 | Info | '/transaction/getCustomersDetails' | 
02:21:28.130 | Info | '/transaction/getCustomersDetails' | 
02:21:29.108 | Info | '/transaction/getCustomersDetails' | 
02:21:36.120 | Info | '/transaction/getCustomersDetails' | 
02:25:34.435 | Info | '/transaction/getCustomerType' | 
02:25:36.074 | Info | '/transaction/getCustomersDetails' | 
02:25:46.837 | Info | '/transaction/getCustomersDetails' | 
02:26:00.653 | Info | '/transaction/getCustomersDetails' | 
02:26:07.617 | Info | '/transaction/getCustomersDetails' | 
02:26:14.117 | Info | '/transaction/getCustomersDetails' | 
02:26:17.115 | Info | '/transaction/getCustomersDetails' | 
02:26:33.106 | Info | '/transaction/getCustomersDetails' | 
02:26:46.188 | Info | '/transaction/getCustomerType' | 
02:26:48.110 | Info | '/transaction/getCustomerType' | 
02:26:50.452 | Info | '/transaction/getCustomersDetails' | 
02:26:56.716 | Info | '/transaction/getCustomerType' | 
02:26:58.582 | Info | '/transaction/getCustomersDetails' | 
02:27:06.112 | Info | '/transaction/getCustomersDetails' | 
02:27:10.332 | Info | '/transaction/getCustomerType' | 
02:27:11.409 | Info | '/transaction/getCustomerType' | 
02:27:13.329 | Info | '/transaction/getCustomersDetails' | 
02:27:28.146 | Info | '/transaction/getCustomersDetails' | 
02:27:35.103 | Info | '/transaction/getCustomersDetails' | 
02:27:44.626 | Info | '/transaction/getCustomerType' | 
02:27:46.009 | Info | '/transaction/getCustomerType' | 
02:27:51.967 | Info | '/transaction/getCustomerType' | 
02:28:12.957 | Info | '/transaction/getCustomersDetails' | 
02:28:24.837 | Info | '/transaction/getCustomerType' | 
02:28:28.466 | Info | '/transaction/getCustomersDetails' | 
02:28:46.928 | Info | '/transaction/getCustomerType' | 
02:28:59.412 | Info | '/transaction/getCustomerType' | 
02:29:14.151 | Info | '/transaction/getCustomersDetails' | 
02:29:18.945 | Info | '/transaction/getCustomerType' | 
02:29:20.539 | Info | '/transaction/getCustomerType' | 
02:29:22.922 | Info | '/transaction/getCustomersDetails' | 
